"Title","Canadian imports"
"Products","I - live animals and animal productS"
"","II - VEGETABLE PRODUCTS"
"","III - FATS, OILS, THEIR CLEAVAGE PRODUCTS AND WAXES"
"","IV - FOOD PRODUCTS, BEVERAGES, SPIRITS, VINEGAR AND TOBACCO PRODUCTS"
"","V - MINERAL PRODUCTS"
"","VI - PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES"
"","VII - PLASTICS, RUBBER AND ARTICLES MADE FROM THESE MATERIALS"
"","VIII - RAW HIDES, SKINS, LEATHER, FUR AND ARTICLES MADE FROM THESE MATERIALS"
"","IX - WOOD AND WOOD ARTICLES, CORK, STRAW AND OTHER PLAITING MATERIALS"
"","X - WOOD PULP, PAPER AND PAPER ARTICLES"
"","XI - TEXTILES AND TEXTILE ARTICLES"
"","XII - FOOTWEAR, HEADWEAR, UMBRELLAS, CANES AND SIMILAR ACCESSORIES"
"","XIII - GLASS, GLASSWARE;  ARTICLES OF CERAMICS, STONE AND SIMILAR MATERIALS"
"","XIV - PEARLS, PRECIOUS METALS OR STONES, COINS AND JEWELLERY"
"","XV - BASE METALS AND ARTICLES OF BASE METAL"
"","XVI - MACHINERY;  MECHANICAL,  ELECTRICAL AND ELECTRONIC APPLIANCES OR EQUIPMENT"
"","XVII - VEHICLES, AIRCRAFT, VESSELS AND OTHER TRANSPORTATION EQUIPMENT"
"","XVIII - CLOCKS, WATCHES AND SPECIALIZED INSTRUMENTATION"
"","XIX - ARMS AND AMMUNITION"
"","XX - MISCELLANEOUS MANUFACTURED ARTICLES"
"","XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES"
"","HS 98 - Special classification provisions - non commercial"
"","HS 99 - Special classification provisions - commercial"
"Origin","All countries (detailed)"
"Destination","Canada"
"Period","Latest 10 years"
"Units","Value in  canadian dollars"

"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"United States","277232602457","270003919017","280468034145","295588326202","295856104692","255109618653","286508816131","352264353623","359431211596","362647318862"
"China","65620324229","64336643689","70829235410","75439817266","74927229094","76511179259","86060726743","100189377289","89136282322","88728023587"
"Mexico","30482836378","32112112916","34266845639","35282646592","35789786711","29725567395","33699335435","41232582614","46000313536","47160300387"
"Germany","17180567378","16988993422","17799101280","18985357524","19118102755","17066771484","18848660916","22287722977","24563743253","23272284048"
"Japan","14769335441","15789798350","17511694803","16836188134","16465666250","13497175525","15362544014","16966276026","20533864483","21278840644"
"Korea, South","8225881824","10596825805","8584049354","9416917241","9477185592","9585650223","10392913860","13323593626","13850436267","16799510019"
"Vietnam","4089099132","4955094008","5083490944","5388517358","6988148410","8166371638","9836901833","12855572619","13253725511","14675226558"
"Italy (incl. Vatican City State)","7350184929","7526491044","8136760065","8953885691","9434003239","8980901636","10408357673","12044152178","12776027807","12362472295"
"Brazil","3727921099","3843124327","4707207499","5486027870","5386190599","6569570984","7472979328","8463638733","9188235682","10205171783"
"France (incl. Monaco, French Antilles)","6604628489","5800671523","6082861271","7090064449","8701401404","6382884015","7082588317","7739475515","8574888861","9745894212"
"United Kingdom","8951746444","8052180365","8682442138","8973552559","8990987128","7619401939","7697272374","8427650173","9127423949","9380710206"
"Switzerland","4514797872","4484177795","4389629834","4586245506","4990771838","5902783028","5690782207","7438162592","8481948660","8058808694"
"India","3933572852","4037353725","4156904937","5073014086","5280341575","4968310415","6030431532","8342429254","7521324595","8019747697"
"Taiwan","5447430218","5072227941","5436997641","5872877637","5947474982","5626173220","7826786985","9452063973","8084985692","7239380485"
"Peru","3259809676","2457206544","1798210258","1423022295","3589878195","3664300815","3975427985","4185773438","4698842280","6146668455"
"Re-Imports (Canada)","3810302584","3821250850","3937599830","4279802968","4505455554","3887131176","4668443080","4712504304","5871338035","5366007631"
"Thailand","3106997109","3148378224","3301259852","3561263125","3741131526","3534270125","4120171281","5205938080","4859848266","5336619445"
"Netherlands","3421593161","3669586392","4000930906","4512008567","4637661617","3215630345","3890912412","5377572164","4352131546","4624194527"
"Belgium","2104076935","2146927853","3079452504","4311700398","4870978947","4280856127","4785368082","4359829608","4579280790","4362103555"
"Spain","2333515312","2354153507","2801716872","2960339489","3497453038","3076566273","3799636644","3754379286","3651132940","4107477898"
"Sweden","1861716768","2051816178","2189335149","2364389641","2299459930","2097684645","2420618010","2934607526","4026242229","4083356729"
"Malaysia","2638152980","2592196018","2785976977","2981696496","2846882323","3051630578","3802074295","4162206821","3483517526","3862786690"
"Ireland","1675658601","1926684006","2336812726","2955010297","3009028135","3182905428","2866366763","3967855325","3285250770","3781373555"
"Poland","1762173051","1914051356","1936229787","2022844035","2251080986","2049832048","2240253189","2762673163","2931216839","3442749436"
"Indonesia","1669792507","1619865224","1730645304","1759649524","1814584763","1606340878","1978678936","2890861737","2811477469","3289855288"
"Türkiye","1293499178","1367706184","1785486378","2337291860","1964321339","1857794788","2787638847","3176948098","2847323228","3143552193"
"Australia","1653747658","1990956200","1869023417","2083382968","2323350048","2350460678","2225919931","2645181956","3221648014","2965265533"
"Austria","1636051372","1641907839","1790502933","1950680156","2146633753","1789897780","2171643460","2502477989","2771795860","2725902742"
"Portugal","618911550","553577885","577086179","632820252","655578885","594218138","728702483","2215495536","3407326286","2672005696"
"Cambodia (Kampuchea)","1031046385","1188317449","1293803966","1474694226","1704587416","1509517144","1784247452","2392604864","2056703159","2357036133"
"South Africa","880102444","851121186","919057666","954655599","1025244363","1908990583","1673577945","2265748222","2747711357","2329060852"
"Nigeria","1041293835","1574573313","1038715751","480506877","292938897","657627477","2065124072","1720143092","3006015981","2324720933"
