Sorting order,TL,TLS,TL Flag,Sector,Description,Base Duty,Final Bound Duty,Implementation From,Implementation To,ODC Duty,ODC Textual Information,Special Safeguard,Present INR Text,Earlier INR Text,OTC,Certified,Source,Present Instrument,First Instrument
1,01,  ,,Ag,LIVE ANIMALS,,,,,,,,,,,,,,
2,0101,  ,,Ag,"Live horses, asses, mules and hinnies.",,,,,,,,,,,,,,
3,01012,  ,,Ag,- Horses :,,,,,,,,,,,,,,
4,01012100,  ,Yes,Ag,- - Pure-bred breeding animals,,0%,,,0%,,,,,,C,HS12,WT/Let/1469,WT/Let/591
5,01012900,  ,Yes,Ag,- - Other,,0%,,,0%,,,,,,C,HS12,WT/Let/1469,WT/Let/591
6,01013000,  ,Yes,Ag,- Asses,,0%,,,0%,,,,,,C,HS12,WT/Let/1469,WT/Let/591
7,01019000,  ,Yes,Ag,- Other,,0%,,,0%,,,,,,C,HS12,WT/Let/1469,WT/Let/591
8,0102,  ,,Ag,Live bovine animals.,,,,,,,,,,,,,,
9,01022,  ,,Ag,- Cattle :,,,,,,,,,,,,,,
10,01022100,  ,Yes,Ag,- - Pure-bred breeding animals,,0%,,,0%,,,,,,C,HS12,WT/Let/1469,UR/94
11,01022900,  ,Yes,Ag,- - Other,,0%,,,0%,,,,,,C,HS12,WT/Let/1469,UR/94
12,01023,  ,,Ag,- Buffalo :,,,,,,,,,,,,,,
13,01023100,  ,Yes,Ag,- - Pure-bred breeding animals,,0%,,,0%,,,,,,C,HS12,WT/Let/1469,UR/94
14,01023900,  ,Yes,Ag,- - Other,,1.1¢/kg,,,0%,,,,,,C,HS12,WT/Let/1469,UR/94
15,01029000,00,,Ag,- Other,,,,,,,,,,,,,,
16,01029000,01,Yes,Ag,- - Pure-bred breeding animals,,0%,,,0%,,,,,,C,HS12,WT/Let/1469,UR/94
17,01029000,02,Yes,Ag,- - Other,,1.1¢/kg,,,0%,,,,,,C,HS12,WT/Let/1469,UR/94
18,0103,  ,,Ag,Live swine.,,,,,,,,,,,,,,
19,01031000,  ,Yes,Ag,- Pure-bred breeding animals,0%,0%,1995,1995,0%,,,,,Note 1,C,UR,UR/94,
20,01039,  ,,Ag,- Other :,,,,,,,,,,,,,,
21,01039100,  ,Yes,Ag,- - Weighing less than 50 kg,0%,0%,1995,1995,0%,,,,,Note 1,C,UR,UR/94,
22,01039200,  ,Yes,Ag,- - Weighing 50 kg or more,0%,0%,1995,1995,0%,,,,,Note 1,C,UR,UR/94,
23,0104,  ,,Ag,Live sheep and goats.,,,,,,,,,,,,,,
24,010410,  ,,Ag,- Sheep,,,,,,,,,,,,,,
25,01041010,  ,Yes,Ag,- - Pure-bred breeding animals,0%,0%,1995,1995,0%,,,,,Note 1,C,UR,UR/94,
26,01041090,  ,Yes,Ag,- - Other,$1/each,.50$/each,1995,2000,0%,,,,,Note 1,C,Rectif,WT/Let/16,
27,010420,  ,,Ag,- Goats,,,,,,,,,,,,,,
28,01042010,  ,Yes,Ag,- - Pure-bred breeding animals,0%,0%,1995,1995,0%,,,,,Note 1,C,UR,UR/94,
29,01042090,  ,Yes,Ag,- - Other,$1/each,.64$/each,1995,2000,0%,,,,,Note 1,C,Rectif,WT/Let/16,
30,0105,  ,,Ag,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",,,,,,,,,,,,,,
31,01051,  ,,Ag,- Weighing not more than 185 g :,,,,,,,,,,,,,,
32,010511,  ,,Ag,- - Fowls of the species Gallus domesticus,,,,,,,,,,,,,,
33,01051110,  ,Yes,Ag,- - - For breeding purposes,0%,0%,1995,1995,0%,,,,,,C,HS12,WT/Let/1469,"UR/94, WT/Let/938"
34,0105112,  ,,Ag,- - - Broilers for domestic production:,,,,,,,,,,,,,,
35,01051121,  ,Yes,Ag,- - - - Within access commitment,2¢ each,0.86¢ each,1995,2000,0%,,,,,,C,HS12,WT/Let/1469,"UR/94, WT/Let/938"
36,01051122,  ,Yes,Ag,- - - - Over access commitment,280.4% but not < 36.3¢/each,238.3% but not < 30.8¢/each,1995,2000,0%,,SSG,,,,C,HS12,WT/Let/1469,"UR/94, WT/Let/938"
37,01051190,  ,Yes,Ag,- - - Other,2¢ each,1.3¢ each,1995,2000,0%,,,,,,C,HS12,WT/Let/1469,"UR/94, WT/Let/938"
38,010512,  ,,Ag,- - Turkeys,,,,,,,,,,,,,,
39,01051210,  ,Yes,Ag,- - - For breeding purposes,0%,0%,1995,1995,0%,,,,,,C,HS12,WT/Let/1469,"UR/94, WT/Let/329, WT/Let/938"
40,01051290,  ,Yes,Ag,- - - Other,12.5%,8%,1995,2000,0%,,,,,,C,HS12,WT/Let/1469,"UR/94, WT/Let/329, WT/Let/938"
41,010513,  ,,Ag,- - Ducks,,,,,,,,,,,,,,
42,01051310,  ,Yes,Ag,- - - For breeding purposes,,0%,,,0%,,,,,,C,HS12,WT/Let/1469,"UR/94, WT/Let/938"
43,01051390,  ,Yes,Ag,- - - Other,,8%,,,0%,,,,,,C,HS12,WT/Let/1469,"UR/94, WT/Let/329, WT/Let/938"
44,010514,  ,,Ag,- - Geese,,,,,,,,,,,,,,
45,01051410,  ,Yes,Ag,- - - For breeding purposes,,0%,,,0%,,,,,,C,HS12,WT/Let/1469,"UR/94, WT/Let/938"
46,01051490,  ,Yes,Ag,- - - Other,,8%,,,0%,,,,,,C,HS12,WT/Let/1469,"UR/94, WT/Let/329, WT/Let/938"
47,010515,  ,,Ag,- - Guinea fowls,,,,,,,,,,,,,,
48,01051510,  ,Yes,Ag,- - - For breeding purposes,,0%,,,0%,,,,,,C,HS12,WT/Let/1469,"UR/94, WT/Let/938"
49,01051590,  ,Yes,Ag,- - - Other,,2.8%,,,0%,,,,,,C,HS12,WT/Let/1469,"WT/Let/487, WT/Let/938"
50,01059,  ,,Ag,- Other:,,,,,,,,,,,,,,
51,010594,  ,,Ag,- - Fowls of the species Gallus domesticus,,,,,,,,,,,,,,
52,01059410,  ,Yes,Ag,- - - For breeding purposes; Spent fowl;Started pullets,,2.82¢/kg,,,0%,,,,,,C,HS12,WT/Let/1469,"UR/94, WT/Let/329, WT/Let/938"
53,0105949,  ,,Ag,- - - Other:,,,,,,,,,,,,,,
54,01059491,  ,Yes,Ag,- - - - Within access commitment,,1.90¢/kg,,,0%,,,,,,C,HS12,WT/Let/1469,"UR/94, WT/Let/329, WT/Let/938"
55,01059492,  ,Yes,Ag,- - - - Over access commitment,,238.3% but not less than $1.25/kg,,,0%,,SSG,,,,C,HS12,WT/Let/1469,"UR/94, WT/Let/329, WT/Let/938"
56,010599,  ,,Ag,- - Other,,,,,,,,,,,,,,
57,0105991,  ,,Ag,- - - Turkeys:,,,,,,,,,,,,,,
58,01059911,  ,Yes,Ag,- - - - Within access commitment,4.41¢/kg,1.90¢/kg,1995,2000,0%,,,,,,C,HS12,WT/Let/1469,"UR/94, WT/Let/938"
59,01059912,  ,Yes,Ag,- - - - Over access commitment,182.0% but not < 188.2¢/kg,154.7% but not < 160.0¢/kg,1995,2000,0%,,SSG,,,,C,HS12,WT/Let/1469,"UR/94, WT/Let/938"
60,01059990,  ,Yes,Ag,- - - Other,3.5%,3.1%,1999,2000,0%,,,,,,C,HS12,WT/Let/1469,"WT/Let/487, WT/Let/938"
61,0106,  ,,Ag,Other live animals.,,,,,,,,,,,,,,
62,01061,  ,,Ag,- Mammals :,,,,,,,,,,,,,,
63,01061100,  ,Yes,Ag,- - Primates,,0%,1995,1995,0%,,,,,,C,HS12,WT/Let/1469,WT/LET/591
64,01061200,  ,Yes,Ag,"- - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",,0%,,,0%,,,,,,C,HS12,WT/Let/1469,WT/Let/591
65,01061300,  ,Yes,Ag,- - Camels and other camelids (Camelidae),,0%,,,0%,,,,,,C,HS12,WT/Let/1469,WT/Let/591
66,01061400,  ,Yes,Ag,- - Rabbits and hares,,0%,,,0%,,,,,,C,HS12,WT/Let/1469,WT/Let/591
67,01061900,  ,Yes,Ag,- - Other,,0%,,,0%,,,,,,C,HS12,WT/Let/1469,WT/Let/591
68,01062000,  ,Yes,Ag,- Reptiles (including snakes and turtles),,0%,1995,1995,0%,,,,,,C,HS12,WT/Let/1469,WT/Let/591
69,01063,  ,,Ag,- Birds :,,,,,,,,,,,,,,
70,01063100,  ,Yes,Ag,- - Birds of prey,,0%,1995,1995,0%,,,,,,C,HS12,WT/Let/1469,WT/Let/591
71,01063200,  ,Yes,Ag,"- - Psittaciformes (including parrots, parakeets, macaws and cockatoos)",,0%,1995,1995,0%,,,,,,C,HS12,WT/Let/1469,WT/Let/591
72,01063300,  ,Yes,Ag,- - Ostriches; emus (Dromaius novaehollandiae),,0%,,,0%,,,,,,C,HS12,WT/Let/1469,WT/Let/591
73,01063900,  ,Yes,Ag,- - Other,,0%,,,0%,,,,,,C,HS12,WT/Let/1469,WT/Let/591
74,01064,  ,,Ag,- Insects :,,,,,,,,,,,,,,
75,01064100,  ,Yes,Ag,- - Bees,,0%,,,0%,,,,,,C,HS12,WT/Let/1469,WT/Let/591
76,01064900,  ,Yes,Ag,- - Other,,0%,,,0%,,,,,,C,HS12,WT/Let/1469,WT/Let/591
77,01069000,  ,Yes,Ag,- Other,,0%,,,0%,,,,,,C,HS12,WT/Let/1469,WT/Let/591
78,02,  ,,Ag,MEAT AND EDIBLE MEAT OFFAL,,,,,,,,,,,,,,
79,0201,  ,,Ag,"Meat of bovine animals, fresh or chilled.",,,,,,,,,,,,,,
80,020110,  ,,Ag,- Carcasses and half-carcasses,,,,,,,,,,,,,,
81,02011010,  ,Yes,Ag,- - Within access commitment,4.41¢/kg,0%,1995,1995,0%,,,,,,C,UR,UR/94,
82,02011020,  ,Yes,Ag,- - Over access commitment,37.9%,26.5%,1995,2000,0%,,SSG,,,,C,UR,UR/94,
83,020120,  ,,Ag,- Other cuts with bone in,,,,,,,,,,,,,,
84,02012010,  ,Yes,Ag,- - Within access commitment,4.41¢/kg,0%,1995,1995,0%,,,,,,C,UR,UR/94,
85,02012020,  ,Yes,Ag,- - Over access commitment,37.9%,26.5%,1995,2000,0%,,SSG,,,,C,UR,UR/94,
86,020130,  ,,Ag,- Boneless,,,,,,,,,,,,,,
87,02013010,  ,Yes,Ag,- - Within access commitment,4.41¢/kg,0%,1995,1995,0%,,,,,,C,UR,UR/94,
88,02013020,  ,Yes,Ag,- - Over access commitment,37.9%,26.5%,1995,2000,0%,,SSG,,,,C,UR,UR/94,
89,0202,  ,,Ag,"Meat of bovine animals, frozen.",,,,,,,,,,,,,,
90,020210,  ,,Ag,- Carcasses and half-carcasses,,,,,,,,,,,,,,
91,02021010,  ,Yes,Ag,- - Within access commitment,4.41¢/kg,0%,1995,1995,0%,,,,,,C,UR,UR/94,
92,02021020,  ,Yes,Ag,- - Over access commitment,37.9%,26.5%,1995,2000,0%,,SSG,,,,C,UR,UR/94,
93,020220,  ,,Ag,- Other cuts with bone in,,,,,,,,,,,,,,
94,02022010,  ,Yes,Ag,- - Within access commitment,4.41¢/kg,0%,1995,1995,0%,,,,,,C,UR,UR/94,
95,02022020,  ,Yes,Ag,- - Over access commitment,37.9%,26.5%,1995,2000,0%,,SSG,,,,C,UR,UR/94,
96,020230,  ,,Ag,- Boneless,,,,,,,,,,,,,,
97,02023010,  ,Yes,Ag,- - Within access commitment,4.41¢/kg,0%,1995,1995,0%,,,,,,C,UR,UR/94,
98,02023020,  ,Yes,Ag,- - Over access commitment,37.9%,26.5%,1995,2000,0%,,SSG,,,,C,UR,UR/94,
99,0203,  ,,Ag,"Meat of swine, fresh, chilled or frozen.",,,,,,,,,,,,,,
100,02031,  ,,Ag,- Fresh or chilled :,,,,,,,,,,,,,,
101,02031100,  ,Yes,Ag,- - Carcasses and half-carcasses,0%,0%,1995,1995,0%,,,,,,C,UR,UR/94,
102,02031200,  ,Yes,Ag,"- - Hams, shoulders and cuts thereof, with bone in",0%,0%,1995,1995,0%,,,,,,C,UR,UR/94,
103,02031900,  ,Yes,Ag,- - Other,0%,0%,1995,1995,0%,,,,,,C,UR,UR/94,
104,02032,  ,,Ag,- Frozen :,,,,,,,,,,,,,,
105,02032100,  ,Yes,Ag,- - Carcasses and half-carcasses,0%,0%,1995,1995,0%,,,,,,C,UR,UR/94,
