Title,Date,Import,Export
Total of all merchandise,January 2024,62117.8,61591
Total of all merchandise,February 2024,64890.2,65855.6
Total of all merchandise,March 2024,64307,63524
Total of all merchandise,April 2024,65444,65005.7
Total of all merchandise,May 2024,64598.7,62821.9
Total of all merchandise,June 2024,66210.6,65617
Total of all merchandise,July 2024,65314.6,64990.6
Total of all merchandise,August 2024,65796,64110.9
Total of all merchandise,September 2024,65333.3,64056.2
Total of all merchandise,October 2024,65563.3,65066
Total of all merchandise,November 2024,67030.8,66423.6
Total of all merchandise,December 2024,69147.1,69921.8
Total of all merchandise,January 2025,69634.7,73118.9
Total of all merchandise,February 2025,70491.9,68844.6
Total of all merchandise,March 2025,69740.4,67566.8
Total of all merchandise,April 2025,67532.1,60001.9
Total of all merchandise,May 2025,66754.8,61166.2
Total of all merchandise,June 2025,67165.8,61553.7
Total of all merchandise,July 2025,66279.2,62454.8
Total of all merchandise,August 2025,66908.4,60584.3
Copper ores and concentrates,January 2024,123.6,482.7
Copper ores and concentrates,February 2024,157,367.2
Copper ores and concentrates,March 2024,31.7,405.5
Copper ores and concentrates,April 2024,69.4,601.3
Copper ores and concentrates,May 2024,180,370.1
Copper ores and concentrates,June 2024,88.4,331.9
Copper ores and concentrates,July 2024,97.3,420.1
Copper ores and concentrates,August 2024,75.8,413.6
Copper ores and concentrates,September 2024,41.8,474.5
Copper ores and concentrates,October 2024,77.2,361.2
Copper ores and concentrates,November 2024,70.4,468.9
Copper ores and concentrates,December 2024,51.6,414.8
Copper ores and concentrates,January 2025,41.8,477.2
Copper ores and concentrates,February 2025,103,461.2
Copper ores and concentrates,March 2025,71.5,455.5
Copper ores and concentrates,April 2025,72.7,559.8
Copper ores and concentrates,May 2025,80.5,438.7
Copper ores and concentrates,June 2025,157.3,477.8
Copper ores and concentrates,July 2025,78.4,667.1
Copper ores and concentrates,August 2025,76.7,441.3
Basic and semi-finished iron or steel products,January 2024,1214.9,961.1
Basic and semi-finished iron or steel products,February 2024,1151.2,941.9
Basic and semi-finished iron or steel products,March 2024,1255.5,949.5
Basic and semi-finished iron or steel products,April 2024,1223.2,929.5
Basic and semi-finished iron or steel products,May 2024,1248.8,886.9
Basic and semi-finished iron or steel products,June 2024,1293.2,893
Basic and semi-finished iron or steel products,July 2024,1244.4,865
Basic and semi-finished iron or steel products,August 2024,1131.1,840.1
Basic and semi-finished iron or steel products,September 2024,1105.4,830
Basic and semi-finished iron or steel products,October 2024,1183.9,853.4
Basic and semi-finished iron or steel products,November 2024,1124.1,852.5
Basic and semi-finished iron or steel products,December 2024,1146.1,847
Basic and semi-finished iron or steel products,January 2025,1138,907.9
Basic and semi-finished iron or steel products,February 2025,1205.8,816.8
Basic and semi-finished iron or steel products,March 2025,1126.1,723.4
Basic and semi-finished iron or steel products,April 2025,1021.9,638.4
Basic and semi-finished iron or steel products,May 2025,1074.1,601.2
Basic and semi-finished iron or steel products,June 2025,1024.8,535.7
Basic and semi-finished iron or steel products,July 2025,1102.9,529
Basic and semi-finished iron or steel products,August 2025,982.5,514.1
Unwrought aluminum and aluminum alloys,January 2024,37.8,792
Unwrought aluminum and aluminum alloys,February 2024,42.3,1064.1
Unwrought aluminum and aluminum alloys,March 2024,44.8,853.9
Unwrought aluminum and aluminum alloys,April 2024,45.8,837.3
Unwrought aluminum and aluminum alloys,May 2024,48,779.4
Unwrought aluminum and aluminum alloys,June 2024,46,836.5
